name,ring,quadrant,isNew,description
SonarLint,assess,tools,TRUE,"<p><a href=""http://www.sonarlint.org/""><strong>SonarLint</strong></a> lives only in the IDE (IntelliJ, Eclipse and Visual Studio). Its purpose is to give instantaneous feedback as you type your code. For this, it concentrates on what code you are adding or updating.</p>"
Appium,assess,tools,TRUE,"<p>Mobile test automation is becoming increasingly important. <a href=""http://appium.io""><b>Appium</b></a> is a test automation framework that can test mobile web, mobile native and mobile hybrid applications on iOS and Android. We have used this in multiple projects and have seen significant gains.&nbsp;At the core, Appium is a webserver that exposes a REST API, receiving connections from a client, listening for commands, executing those commands on a mobile device and responding with an HTTP response representing the result of the command execution. It allows tests to be written against iOS and Android&nbsp;using the same API. Appium is open source with easy setup using npm.</p>"
Prometheus,assess,tools,TRUE,"<p><a href=""http://prometheus.io/""><strong>Prometheus</strong></a>, the monitoring and time series database tool originally developed by Soundcloud. Prometheus primarily supports a pull-based HTTP model but it also supports alerts, making it an active part of your operational toolset. As of this writing, Prometheus 2.0 is in prerelease, and continues to evolve. Prometheus developers have focused their efforts on core time series databases and the variety of metrics available. <a href=""/radar/tools/grafana"">Grafana</a> has become the dashboard visualization tool of choice for Prometheus users and support for Grafana ships with the tool. Our teams also find that Prometheus monitoring nicely complements the indexing and search capabilities of an Elastic Stack.</p>"
TeamCity,assess,tools,TRUE,"<p>TeamCity is Java-based CI server package.  The TeamCity installation and configuration is quick and easy.  The fact that it is Java-based should not be an impediment to .NET development shops.  The TeamCity server is a primary component, but the browser-hosted interface serves as the primary way to administer TeamCity users, agents, projects, and build configurations.</p>"
OpenTracing,assess,tools,TRUE,"<p>As monolithic applications are being replaced with more complex <a href=""/radar/techniques/microservices"">(micro)service</a> ecosystems, tracing requests across multiple services is becoming the norm. With majority contribution from LightStep and Uber <a href=""http://opentracing.io/""><strong>OpenTracing</strong></a> is rapidly becoming the de facto standard for distributed tracing. There is a growing number of <a href=""http://opentracing.io/documentation/pages/supported-tracers"">tracers</a> supporting OpenTracing standard, including <a href=""/radar/tools/zipkin"">Zipkin</a>, <a href=""/radar/languages-and-frameworks/instana"">Instana</a>, and <a href=""https://uber.github.io/jaeger/"">Jaeger</a>. OpenTracing currently provides vendor-neutral implementation in multiple languages including: Go, JavaScript, Java, Python, Objective-C, C#, C++, Ruby and PHP.</p>"
TIG Stack,hold,tools,TRUE,"<p>TIG stands for: Telegraf => An agent for collecting, processing, aggregating, and producing metrics. InfluxDB => An open source database, optimized for large amounts of time-stamped data. Grafana =>  An open source data visualization tool."
Flutter,adopt,language-and-frameworks,TRUE,"<p><a href=""http://flutter.io/""><strong>Flutter</strong></a> is a cross-platform framework that enables you to write native mobile apps in <a href=""/radar/languages-and-frameworks/google-dart"">Dart</a>. It benefits from Dart and can be compiled into native code and communicates with the target platform without bridge and context switching—something that can cause performance bottlenecks in frameworks such as <a href=""/radar/languages-and-frameworks/react-native"">React Native</a> or <a href=""/radar/languages-and-frameworks/weex"">Weex</a>. Flutter's hot-reload feature is impressive and provides superfast visual feedback when editing code. Currently, Flutter is still in beta, but we'll continue keeping an eye on it to see how its ecosystem matures.</p>"
TypeScript,adopt,language-and-frameworks,TRUE,"<p><strong><a href=""https://www.typescriptlang.org/"">TypeScript</a></strong>, a statically typed language and superset of JavaScript, has become our sensible default. Large-scale projects benefit most from the type safety. Our developers favor its minimal configuration management, well-integrated IDE support and its ability to refactor code safely and gradually adopt types."
React.js,adopt,language-and-frameworks,TRUE,"<p>In the avalanche of front-end JavaScript frameworks, <a href=""http://facebook.github.io/react/""><strong>React.js</strong></a> stands out due to its design around a reactive data flow. Allowing only one-way data binding greatly simplifies the rendering logic and avoids many of the issues that commonly plague applications written with other frameworks. We're seeing the benefits of React.js on a growing number of projects, large and small, while at the same time we continue to be concerned about the state and the future of other popular frameworks like <a href=""/radar/languages-and-frameworks/angularjs"">AngularJS</a>..</p>"
Redux,adopt,language-and-frameworks,TRUE,"<p>With the increasing complexity of single-page JavaScript applications, we have seen a more pressing need to make client-side state management predictable. <a href=""http://redux.js.org/""><strong>Redux</strong></a>, with its <a href=""http://redux.js.org/docs/introduction/ThreePrinciples.html"">three principles</a> of restrictions for updating state, has proven to be invaluable in a number of projects we have implemented. <a href=""https://egghead.io/courses/getting-started-with-redux"">Getting Started with Redux</a> and <a href=""https://egghead.io/courses/building-react-applications-with-idiomatic-redux"">idiomatic Redux</a> tutorials are a good starting point for new and experienced users. Its minimal library design has spawned a rich set of tools, and we encourage you to check out the <a href=""https://github.com/markerikson/redux-ecosystem-links"">redux-ecosystem-links</a> project for examples, middleware and utility libraries. We also particularly like the testability story: Dispatching actions, state transitions and rendering can be unit-tested separately from one another and with minimal amounts of mocking.</p>"
Angular,adopt,language-and-frameworks,TRUE,"<p>Angular, now in version 5, has improved steadily while providing backward compatibility along the way.</p>"
.NET Core,adopt,language-and-frameworks,TRUE,"<p>Many developers have confirmed that <a href=""http://www.microsoft.com/net/core""><strong>.NET Core</strong></a> has reached a level of maturity that makes it the default for .NET server applications. The open source .NET Core framework enables the development and deployment of .NET applications on Windows, macOS and Linux with first-class cross-platform tooling. Microsoft provides blessed Docker images which make it easy to deploy .NET Core applications in a containerized environment. Positive directions in the community and feedback from our projects indicate that .NET Core is the future for .NET development.</p>"
Node.js,adopt,language-and-frameworks,TRUE,"<p>Node.js is a lightweight web container that is a strong option for development of micro services and as a server to mobile and single-page web applications. Due to the asynchronous nature of node.js, developers are turning to promise libraries to simplify their application code. As the use of promises mature within the node.js community, we expect to see more applications developed for node.js. For those teams that are reluctant to try node.js in production, it is still worthwhile to consider node.js for development tasks like running JavaScript tests outside of the browser or generating static web content from tools like CoffeeScript, SASS, and LESS.</p>"
Electron.js,adopt,language-and-frameworks,TRUE,"<p>The Electron framework lets you write cross-platform desktop applications
using JavaScript, HTML and CSS. It is based on <a href=""https://nodejs.org/"" rel=""nofollow"">Node.js</a> and
<a href=""https://www.chromium.org"" rel=""nofollow"">Chromium</a> and is used by the <a href=""https://github.com/atom/atom"">Atom
editor</a> and many other <a href=""https://electronjs.org/apps"" rel=""nofollow"">apps</a>.</p>"
Spring Boot,adopt,language-and-frameworks,TRUE,"<p>A lot of work has gone into <a href=""http://projects.spring.io/spring-boot""><strong>Spring Boot</strong></a> to reduce complexity and dependencies, which largely alleviates our previous reservations. If you live in a Spring ecosystem and are moving to microservices, Spring Boot is now the obvious choice.</p>"
Swift,adopt,language-and-frameworks,TRUE,"<p>With the release of Swift 2, the language approached a level of maturity that provides the stability and performance required for most projects. A good number of libraries that support iOS development—<a href=""https://github.com/SwiftyJSON/SwiftyJSON"">SwiftyJSON</a>, <a href=""https://github.com/Quick/Quick"">Quick</a>, etc.—are now migrated over to Swift, which is where the rest of the applications should follow. Swift has now been open sourced, and we are seeing a community of developers dedicated to continuously improving development in iOS.</p>"
Python 3,adopt,language-and-frameworks,TRUE,"<p><strong>Python 3</strong> introduced many useful features that are not backward compatible with Python 2.x. It also removed numerous Python 2.x features that were maintained for backward compatibility, making Python 3 easier to learn and use and more consistent with the rest of the language. Our experience using Python 3 in&nbsp;domains such as machine learning and web application development shows that both the language and most of its <a href=""http://py3readiness.org/"">supporting libraries</a> have matured for adoption. We were able to fork and patch minor issues of existing libraries or avoided using incompatible Python 2.x libraries that had been abandoned. If you are developing in Python we strongly encourage you to use Python 3.</p>"
Cucumber,adopt,language-and-frameworks,TRUE,<p>Cucumber is a software tool used by computer programmers that supports behavior-driven development. Central to the Cucumber BDD approach is its plain language parser called Gherkin. It allows expected software behaviors to be specified in a logical language that customers can understand</p>
Karate,adopt,language-and-frameworks,TRUE,"<p>Unlike other automated API testing tools which require a fair amount of coding, even just to do basic stuff, Karate works out of the box. You can construct the most complex request-response operations with no knowledge of any programming language. All you have to do is to write the feature file using plain text Gherkin style.</p>"
Kotlin,trial,language-and-frameworks,TRUE,"<p><strong>Kotlin</strong> has experienced an <a href=""http://sogrady-media.redmonk.com/sogrady/files/2018/03/lang.rank_.118.png"">accelerated rate of adoption</a> and rapid growth of tooling support. Some of the reasons behind its popularity are its concise syntax, null safety, ease of transition from Java and interoperability with other JVM-based languages in general, and that it doubles as a great introductory language to functional programming. </p>"
Vue.js,assess,language-and-frameworks,TRUE,"<p>In the ever-changing world of front-end JavaScript frameworks, <a href=""https://vuejs.org/""><strong>Vue.js</strong></a> has gained a lot of ground as a lightweight alternative to <a href=""/radar/languages-and-frameworks/angularjs"">AngularJS</a>. It is designed to be a very flexible—and a less opinionated—library that offers a set of tools for building interactive web interfaces around concepts like modularity, components and reactive data flow. It has a low learning barrier, which makes it interesting for junior developers and beginners. Vue.js itself is not a full-blown framework; it is focused on the view layer only and therefore is easy to integrate with other libraries or existing projects.</p>"
React Native,assess,language-and-frameworks,TRUE,"<p>Yet another entrant into the cross-platform mobile development world, Facebook’s <a href=""https://facebook.github.io/react-native/""><strong>React Native</strong></a> brings the React.js programming model to iOS and Android developers. React Native programs are written in JavaScript, but unlike a hybrid framework such as Ionic, React Native gives developers access to native UI components on the target platform. This is an approach we’ve seen before (e.g., <a href=""http://calatrava.github.io/"">Calatrava</a>), but React Native has already inspired a substantial developer community and builds on the momentum generated by React.js. This framework could play a significant role in the future of mobile app development.</p>"
Go Language,assess,language-and-frameworks,TRUE,"<p>The <a href=""https://golang.org/""><b>Go language</b></a> gradually changed status from ""Just Another Language"" to a valuable tool in many projects. While steadfastly single paradigm in a world of increasingly complex languages, it seems to keep a nice balance between expressiveness, power, and simplicity.</p>"
WebAssembly,assess,language-and-frameworks,TRUE,"<p><a href=""http://webassembly.org/""><strong>WebAssembly</strong></a> is a big step forward in the capabilities of the browser as a code execution environment. Supported by all major browsers and backward compatible, it's a binary compilation format designed to run in the browser at near native speeds. It opens up the range of languages you can use to write front-end functionality, with early focus on C, C++ and Rust, and it's also an LLVM compilation target. When run in the sandbox, it can interact with JavaScript and shares the same permissions and security model. When used with <a href=""http://hacks.mozilla.org/2018/01/making-webassembly-even-faster-firefoxs-new-streaming-and-tiering-compiler/"">Firefox's new streaming compiler</a>, it also results in faster page initialization. Although it's still early days, this W3C standard is definitely one to start exploring.</p>"
Xamarin,hold,language-and-frameworks,TRUE,
Ionic Framework,hold,language-and-frameworks,TRUE,"<p><a href=""http://ionicframework.com/"">Ionic framework</a> is an open-source front-end framework that offers a library of mobile-optimized HTML, CSS and JavaScript components and tools for building highly interactive applications. It is built with SASS and optimized for AngularJS.</p>"
QT,hold,language-and-frameworks,TRUE,"<p>Qt is a cross-platform application development framework for desktop, embedded and mobile. Supported Platforms include Linux, OS X, Windows, VxWorks, QNX, Android, iOS, BlackBerry, Sailfish OS and others.</p>"
